,frame,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_z,left_eye_inner_z,left_eye_z,left_eye_outer_z,right_eye_inner_z,right_eye_z,right_eye_outer_z,left_ear_z,right_ear_z,mouth_left_z,mouth_right_z,left_shoulder_z,right_shoulder_z,left_elbow_z,right_elbow_z,left_wrist_z,right_wrist_z,left_pinky_z,right_pinky_z,left_index_z,right_index_z,left_thumb_z,right_thumb_z,left_hip_z,right_hip_z,left_knee_z,right_knee_z,left_ankle_z,right_ankle_z,left_heel_z,right_heel_z,left_foot_index_z,right_foot_index_z,nose_score,left_eye_inner_score,left_eye_score,left_eye_outer_score,right_eye_inner_score,right_eye_score,right_eye_outer_score,left_ear_score,right_ear_score,mouth_left_score,mouth_right_score,left_shoulder_score,right_shoulder_score,left_elbow_score,right_elbow_score,left_wrist_score,right_wrist_score,left_pinky_score,right_pinky_score,left_index_score,right_index_score,left_thumb_score,right_thumb_score,left_hip_score,right_hip_score,left_knee_score,right_knee_score,left_ankle_score,right_ankle_score,left_heel_score,right_heel_score,left_foot_index_score,right_foot_index_score
0,0,731.3524371424865,738.9586349611548,744.3200050200173,747.6197505401352,725.9834271777243,721.6201621316465,717.422233938126,752.8491946313288,710.3849561754124,737.204494345122,720.5111970432381,774.357331499293,670.6942995756066,785.6525477796431,641.3394629114857,782.1395948364069,634.7065172063607,782.836288739842,631.1268607109363,777.1031630995743,637.1520431908333,774.0688769608287,641.0454385558503,735.3130782844837,669.5307196063075,737.1218115765106,640.7116782905607,740.5981786104179,618.5686780829468,732.5699345467837,625.8166456352363,751.251717920436,593.4584954999725,215.98887083211042,207.88290310761258,208.87429348808743,209.54325932609964,204.70096287579796,203.5674666448539,202.7811425332492,213.52486659447646,205.19871375460394,227.1616224357487,224.30825957259276,282.6903039511197,254.49596001000032,355.591917325352,313.36842612420116,397.1620825328276,364.589293748257,418.2525429814938,380.611182252362,412.4803472316229,378.2054199963584,404.25196515151697,373.31914824987604,417.1984006573509,410.1057264380831,534.4792950714349,517.8241466661981,642.7365269193018,625.3816937488191,659.0040546961714,643.3837967551117,689.6939045264285,663.6288788611032,-547571.1553855513,-526659.750039126,-527070.7505697508,-527020.4752754848,-527663.5968397359,-528153.4793070641,-528417.8770796092,-356177.1070006576,-359824.00143377425,-476777.7594001361,-480335.0883965178,-208726.93369840411,-192500.20540933497,-157297.9219795541,-114798.87087235476,-297415.89609075506,-207539.8083125474,-339339.10654625494,-244733.32018467586,-378910.16222187114,-285872.78907786246,-314697.27436528995,-226438.11546361932,-7394.747155979781,7153.000760155981,-9472.906295422228,-40936.281291410414,166703.70054496205,151125.73722192534,172390.3516482166,162376.64422454382,-13228.586253161415,-10802.667404420507,0.9999267857335986,0.9998365061478923,0.9997975077127383,0.9998501823111345,0.999881558585466,0.9998881205460461,0.9999161509717065,0.9998459565732677,0.999719951940545,0.9998847767073403,0.9998896360986713,0.9999684658675104,0.9999637458437347,0.8745807392071208,0.9198558870163318,0.8404832432194327,0.9434663638236914,0.8072071329186801,0.9167164510396464,0.8228094733575368,0.924257934248835,0.765094093707897,0.9001133287840136,0.9999841003290366,0.999985411709664,0.9762629717373964,0.982627103349797,0.9910329212292837,0.9912698599069789,0.870138243371197,0.8902366487945397,0.9864264654394355,0.984426144551503
1,1,723.1798764932055,732.9472536156989,738.1314717896321,741.3459712481424,718.4419323705822,714.5232843057915,709.8516226282836,745.656628976882,704.8601060080882,728.4193157683799,713.6470000984386,764.1459148471645,664.8399080477425,763.8363666056096,637.7956324342088,772.8353061841348,615.5691222993353,777.3524263909628,605.5977807373239,774.8310515193118,607.0877862921878,768.6673012810572,612.6533553349728,732.8382787293115,668.7753465283977,738.4881981869198,636.620825460227,737.5524201819957,618.6788328384312,731.1073031740673,625.851371298095,729.5226894138254,591.1920620552067,228.34022027612943,218.85149126402771,220.2714877990193,221.1920296379107,215.64049271579785,214.5996837838204,213.85527153633194,225.3189826765344,215.86747660011582,239.80335326157294,236.38511162716992,294.09559166102855,260.8136998163031,386.23797572680627,318.51728820929065,468.3044528905789,352.3075768191179,494.3414722021544,361.8323704623187,496.6316008772997,357.2269950674214,487.43387986578784,355.65674205492087,418.1168283024788,410.10898890604943,535.9956716463836,520.1285657439641,641.4731775858816,625.9856911432645,653.7923087893857,643.3985666501359,678.4496095784443,663.6035888318504,-685993.9466691396,-664932.1499222657,-665402.7877139581,-665338.893420124,-661989.6910591205,-662431.0798818797,-662667.8562807273,-485558.06710163626,-471936.537526581,-611079.5117936336,-609832.880815602,-340332.26172132586,-255506.7490727242,-255835.84054305457,-147246.31906625585,-346891.53801920894,-204238.6969311429,-383299.20887025166,-230395.49288827874,-434764.2833291866,-279544.3772261308,-367305.6359794157,-225690.13651351165,-21235.89469305107,21047.22200637964,-103527.48978575335,-120007.5782131093,113942.63286737999,107641.16193626152,124127.44707666738,123514.7456531725,-49799.91639938369,-34637.79817165229,0.9999338181261518,0.9998523450226817,0.9998172030076902,0.9998647328638235,0.9998929238184625,0.9998988238601509,0.9999240849334453,0.9998608181383937,0.9997459835144011,0.999895391095639,0.9998995189780823,0.9999707159474884,0.9999631970375137,0.8865391333004076,0.9217329450662115,0.8560515640305194,0.9469461329405847,0.825611146347623,0.9214139912398337,0.8397772866080538,0.9286556663538421,0.7874672564384654,0.90607377605355,0.9999819522836295,0.9999816050551691,0.9771664624613372,0.9830639974762561,0.9898654775665873,0.990592773316059,0.865415458420379,0.8895585955083234,0.9853441330013144,0.9836008580480612
2,2,722.9604478231595,732.8476986159858,737.2079560661949,741.0604499845754,718.2651142820307,714.1230169020259,709.6345298499398,745.5491111255452,704.2779105623999,728.4065528774838,712.7453261300141,764.2798324418184,664.8010213013828,766.5377095640222,635.7273650453969,774.331237861922,610.0071523325461,780.3526487986579,598.3924082397481,776.4977890333056,601.6582443714307,770.1144148054245,607.7782618296695,732.7404369907096,668.096356155212,738.4227518972438,636.5077139707174,740.6133234099462,618.6853273260475,731.7257169637851,625.8645437926756,754.1699931534623,591.0949924696877,227.2175230975598,218.31485269382608,219.38356060432181,220.3010230406456,214.93285972356588,213.9679963826924,213.15630659917755,224.74772779052856,215.70817377524224,238.7400270654455,236.13505693094186,294.0625276419602,260.7946354718554,385.3602734751779,318.5264590510033,464.74762699223754,352.92630575047207,490.3869023768744,364.602708801278,491.63821828047435,359.9050070727589,484.4203614458151,356.7518661352775,419.25053007146903,411.0073333452934,540.449595638789,520.4573107684657,642.0618973310509,625.9788802715984,653.7393555925323,642.8329560266552,688.1894363614448,664.3908325151981,-696064.2379274089,-675819.8548496563,-676313.1044278607,-676251.2055230128,-674234.0616979987,-674689.8350721984,-674938.3755074943,-497446.4171857448,-489890.54455234576,-621057.643323813,-621528.0371683565,-338342.5893963276,-267903.3102173394,-237754.43143467524,-126602.50185008923,-302131.95183725783,-130158.43591198279,-332388.7787707468,-146663.5770773689,-381048.5519296946,-195614.46205073508,-320482.4998908758,-150039.1901825199,-17426.455173279814,17259.81882159008,-57421.927209284484,-113474.71469046206,177680.58272484317,127102.86553832001,189727.5015405437,144107.28650649995,20468.9374519012,-12754.941779432596,0.9999458271227839,0.9998794571648773,0.9998509143027822,0.9998896523758397,0.9999123471530051,0.9999170909802615,0.9999375884352163,0.9998863960862534,0.9997906424456628,0.9999137669735563,0.9999166042862424,0.9999748249720991,0.9999624815848713,0.9068776612918019,0.9233239089713785,0.882708239501941,0.9523639017884433,0.8572060374881092,0.9289936818793639,0.8688775130899974,0.9357204601778628,0.8258274210980291,0.9157082362079214,0.9999801616628778,0.9999774478632191,0.9792263392277232,0.984416263165683,0.989298542080966,0.9904564402674438,0.8680294017517737,0.8944646203455834,0.9850870929712662,0.9836501707005629
3,3,723.2327703703347,733.1260483703967,737.2064239887177,741.2803321282614,718.4119717033337,714.1703007343348,709.8748825244245,745.6912202608053,704.2608536138385,729.5454606503417,712.9918686775225,765.7549257364228,664.8160571978252,777.8727665390498,635.6978232913698,783.2721151686319,607.3689365846237,788.0155588140483,593.8820164735462,786.0855566644996,595.0578849492406,781.2726737251066,602.1817361806244,732.2982480725171,668.0899391083046,738.2660774205182,636.7003907942861,740.9789898726492,618.8530208942072,731.7420856227627,625.8200257584576,752.8418284920521,591.2256562735992,221.457111360237,212.15555341948863,213.01686288535407,214.00832761529495,209.65116624639668,209.0424637972377,208.40202609051696,218.67971341593702,210.63538514770815,232.81244441856862,230.2537643946746,284.2261034283241,259.6014596206685,356.1356006392715,317.5950070071501,388.7771366494862,351.2608117029386,407.175584807654,363.29293187868564,396.80163131867755,359.4034773021629,388.8892158032733,356.0453025851063,418.73449712158026,410.9374838751181,536.9612637821184,521.024049427893,642.7705753909921,625.9671791292319,655.9061927013225,642.6550636421262,688.5411624378199,664.815763896815,-522242.5503305304,-497930.554292682,-498361.7066964875,-498304.00684170454,-498463.5455752233,-498928.66778625874,-499149.97639793134,-316613.215103537,-316744.07585108833,-448163.9967588932,-450798.28124470846,-177055.018527652,-156096.2193586068,-187666.08573698337,-129475.72504706317,-405058.9111869174,-313561.37495917873,-458546.23547541664,-363404.15122696315,-500079.98395591276,-411407.2643252087,-426184.18231576215,-338879.56348255696,-13932.762976265292,13669.217459297495,-19450.66632800885,-52162.2933821851,160354.57682354518,130479.88114152936,179949.16063719348,142245.60302756928,-150.93599600867947,-15335.763216248437,0.9999542897241516,0.9998984457016765,0.9998746050979797,0.999906695178479,0.9999262911052239,0.9999303790687375,0.9999472956576819,0.9999029069106928,0.9998212634823233,0.9999244387236238,0.9999268859150261,0.9999762548880204,0.9999630249792679,0.9094541474865784,0.9257528231577898,0.8932273418879833,0.957158618437701,0.8710936114930194,0.9361844332581075,0.8820727278905149,0.9423844785928217,0.8426201419597327,0.9244609616344445,0.999980213636397,0.9999774789813085,0.980117074477079,0.9850570962518703,0.9896627093281368,0.9907466449032729,0.8755829932002541,0.9000379081476628,0.9857521286143411,0.9842958940283116
4,4,723.6030302335282,733.2665925646991,737.1627679549448,741.2376041373217,718.729040746493,714.3988546848939,710.3168436187208,745.6914494258808,704.2728123434349,730.3091109002044,713.3259610038373,768.6404505770441,664.5368906022786,780.91864770663,635.7021206188479,783.4413607696889,607.038940034589,786.8651193383257,593.91559650387,788.0432265818861,594.6500263008479,785.3139198766394,601.6503472789232,731.7567018683521,667.8959227587701,738.4947553745249,636.8508308961121,741.5997361788221,618.8584303635375,731.8490720535724,625.7661397276196,755.47858456801,590.3550140516635,216.1448110665895,208.7559090102247,209.65445687778396,210.5915759881409,204.96219141845444,204.21897788359112,203.7899508982135,214.84855593103146,207.12643804948274,227.77499254271044,224.47994757680507,280.2404406498398,259.04810500938993,353.92218139900314,317.91053150678846,399.43224422813705,349.9332964428109,412.27948915834315,360.96900357451966,407.7017694345715,357.1232604274936,401.78078021710587,353.7220082316336,418.31730034205367,410.8392039516757,540.2591158686403,521.2421477591237,643.5776506478592,625.8745222966912,657.5459004817467,642.3663173832915,689.7874206782807,665.1915516214533,-547754.6221092484,-529033.1570535274,-529482.1476546527,-529416.3994872789,-527203.2999116696,-527782.0664063937,-528169.0999365646,-369891.15864173387,-361740.297257661,-480300.4808133601,-480498.17542208405,-205105.74944420267,-182005.1449307211,-42048.60248344816,-1870.9212982660938,45119.15497773072,69278.42299581153,56280.05805760797,68954.25518894539,13757.581822329521,32714.30116193682,32843.24837796623,56504.008939845226,-12779.692882055937,12594.985368696282,-4063.213874313342,-14260.478953647507,173606.4532032961,193532.01869461656,182026.1231323392,206414.803334666,7009.271841263807,41738.895623464814,0.9999474977433973,0.9998845553683615,0.9998573753969893,0.9998848124967682,0.9999236648698068,0.9999304862927942,0.9999473892276249,0.9998874143076235,0.9998304259817448,0.9998802946366947,0.9999037112048512,0.9999402185047374,0.9999596521372722,0.8476315369661044,0.921469773442832,0.8125502893223462,0.9578633709586306,0.7923057927495416,0.9361752605049048,0.803112420354152,0.9421870182629167,0.7668792107125296,0.9243152357783239,0.999979788376503,0.9999789539474915,0.9804394255183936,0.9849157303445257,0.9901391525070524,0.9910439543297477,0.8829509883283979,0.9042999474912695,0.9863822093256829,0.9847608430532104
5,5,723.806226464375,733.3779158139935,737.1414413906497,741.2306568413896,718.8687680783913,714.5257622314975,710.5132286965307,745.6919622473831,704.286666435586,730.5318479381438,713.6791757212119,768.5254382696609,663.9902663305169,779.6930145541934,635.6365161078585,778.5467624740024,607.2775542440434,780.0102474398764,594.252877167996,781.9387567509843,595.5133697458035,779.6804111209783,602.3392461918454,731.616151274634,667.6899905490357,739.1733195252702,636.8629635854237,741.856472586903,618.8629510377114,731.8701850638276,625.7640508277602,756.4505027885997,589.5864506520996,212.90494985381054,206.42335698842678,207.40307846615667,208.45727943938533,202.41821989716374,201.67228451914954,201.46848797520815,212.82496912702396,205.33813974554258,224.4065633437889,221.46937113440723,275.41485891151626,258.18812159250996,346.80296561219234,317.64518863494675,396.9942213672931,349.8994360949206,417.338544829165,359.91703866498506,413.93612018821887,356.25466506223637,407.2200280998033,353.0430696009347,417.7508919462179,410.760297888788,540.3108850055282,521.4386913782288,644.1192626086615,625.8680937574958,658.3965376397155,642.2522787219165,690.2227582054419,665.4564634065022,-444457.3335321437,-422959.6881509236,-423382.9279187129,-423305.70587391127,-421830.6076989846,-422376.2667988172,-422709.9430231528,-263572.1208957037,-257508.9873129769,-377847.99645250133,-378775.2531821819,-121073.54868197224,-96070.17016683563,-25287.141902044976,57851.05124510974,-54512.00212932438,85842.10526585586,-65316.40486650607,77118.39863408453,-104598.45595855557,38427.82683303948,-68772.7779293551,70817.74676943137,-12963.239594878105,12775.357278786922,-16559.533820115274,-30784.414370427374,155463.49211140402,169928.15926757146,160779.4799898506,182886.50562078418,-4649.474626529992,23402.221078852097,0.9999301172963059,0.9998487682869076,0.9998109160385517,0.999839890154213,0.9999087116169441,0.9999193770557697,0.9999401120832697,0.9998440828660713,0.9998194295047356,0.9998040508489903,0.9998580860849523,0.999894314941802,0.9999527348691356,0.7393239507680569,0.8988895525421016,0.6745111801610699,0.9486342204115431,0.6572929028199446,0.9230290068588362,0.6670836870208395,0.9294501741688262,0.6362796759152975,0.9090098705297923,0.999980198308825,0.9999809087856927,0.9806966281215881,0.9844405786045949,0.9908046169062394,0.9914879111215618,0.8897056662298088,0.9076445190481113,0.9870250845779989,0.9851672301587612
6,6,724.1142591057574,733.4615914298038,737.1370844883811,741.24638366169,718.9428459648666,714.5809973393373,710.6194355231194,745.6733905979376,704.2550000868074,730.8729443762152,713.8719380877528,768.6123193179262,662.4933329241786,784.2712697404452,634.408981437978,769.6604840582161,608.0735075160321,767.2944309495806,599.6448130038757,767.4293189475112,601.0500413877394,766.2747646260495,606.2817231214991,731.9620200556401,667.9630056530737,739.4102042128549,637.187550830445,742.0749982289508,618.8672324403203,731.9450868465675,625.7603949949387,755.315342836086,589.3106366803962,212.12165314101327,205.61840850414612,206.62995072628362,207.7365643759253,201.6167419339052,200.97553405184095,200.87935728223826,212.22154987745316,204.9733830425104,223.7388332166806,220.89665811643027,274.567928727485,258.26297701045553,350.6526354985825,320.2822548207556,404.88702527875404,351.6932906584165,424.5278222433818,359.78830122683746,420.56501614644134,353.09819844336636,413.30252585416514,350.2501374443032,417.5956108681592,410.69533285461614,540.5550746444171,521.4711515067472,644.3447013716393,625.945215600557,658.5755521523904,642.2955199744184,690.1734405708409,665.5931965399054,-430812.40834082064,-409061.98754781106,-409496.58942177927,-409448.21784173424,-407605.82346925855,-408123.8885717673,-408464.9745750882,-250631.55033944343,-243578.03091267392,-364843.77312243823,-365420.18933594215,-115402.02969402369,-90173.20512803928,-8022.359327503429,-8350.852312232691,-27632.018609402458,-79568.51806498991,-39982.7191860097,-110691.47189783484,-76225.72352882334,-138976.52438291247,-40066.44916843706,-93740.51265110269,-13082.71987803626,12891.324451667859,-18771.719615306974,-28172.017780440314,161321.42343478682,181585.51047391517,167790.14110344503,194961.63843087584,-6444.180285921155,28927.231931556198,0.9998827099223594,0.9997478363825684,0.999676433433969,0.9997369820030164,0.999854858379634,0.9998732653370466,0.999910981029997,0.9997356047002005,0.9997261674490852,0.9996783640525154,0.9997632018965995,0.9998686216822268,0.9999405972601573,0.6405631767182515,0.859293615821715,0.5588761679790911,0.9257662715200441,0.5453237632863246,0.8967121639004637,0.5538723727950846,0.9037524124568147,0.5271779113127424,0.8780329008850523,0.9999812302035451,0.9999826383491333,0.9804608515852414,0.9827972205044342,0.9911984345843509,0.9916112062634792,0.8919587345978479,0.9078551833219938,0.9871541216210385,0.9849676544214533
7,7,724.116983801335,733.4582908758366,737.0367688777592,741.2222429436006,718.9461751652711,714.5701759852885,710.6297649959345,745.6123099613703,704.0095816236558,730.8668005236898,713.8810323911773,768.5755843775873,662.4962748608885,784.38212507548,634.4589656086137,770.4031651514385,612.4382150139265,764.9615236559594,603.0018637831427,757.8868539118827,604.4958633132156,758.5191684426898,610.0127182273511,734.0453187906426,668.3925761443738,739.41012214963,638.1114258498068,742.2226072289025,618.864258359734,731.9915654106896,625.5630657630049,754.8291921811456,589.6685294577775,212.7661024401886,206.07735048441646,207.07096857884898,208.1432722078553,202.11417305819066,201.4566847008787,201.32649459186467,212.52392627038074,205.2763157940599,224.3965473576017,221.47517011906228,275.61732556761666,259.4325352391826,351.9371447201778,330.3247804465963,380.9105288086731,349.3983570913232,400.2812792708123,355.09618946999075,394.82048086709597,344.6781487267379,387.48761391211326,342.8282530818488,417.41001388500507,411.90118099290424,540.5337700312929,521.9071346785773,643.8653932380951,626.1694733772495,658.2491601408682,642.5452793011258,690.2247343856886,665.5975213332697,-365114.138454512,-336011.73133939673,-336485.3810067655,-336442.7115304783,-333802.5447729931,-334136.71031834884,-334292.5849285582,-157136.50062499798,-146690.53041506268,-294769.56722338713,-294428.1677160502,-78026.56246004511,-15706.923358801841,-179289.06417210877,-176426.67405285742,-508187.48864969733,-575590.1144303404,-592106.1054527075,-665086.2212525529,-621241.3593184976,-697265.1884495629,-527389.1628317955,-601838.2601226427,-13953.421742878614,13747.564731781496,-46051.4612334919,-31876.108865333266,148821.48307048352,181628.6494571368,154506.87574326975,193466.2038357733,-60228.92833444178,7096.944443458165,0.9998599381728842,0.9997000742036394,0.9996127420244604,0.9996914583297789,0.9998277841088001,0.9998497784333362,0.9998951161544428,0.9996899364102826,0.9996663272369531,0.9996307949474286,0.9997212302526672,0.9998701001687853,0.9999230277411515,0.6361588784856538,0.8202265434773097,0.556698953959974,0.9054598993137536,0.5455961065778911,0.8816300893668035,0.5527894766721068,0.8894027463499228,0.5295476749581798,0.8584797053792887,0.9999818595507832,0.999981486293117,0.9806189585737044,0.9791484192533285,0.9911647351021843,0.9907981870475496,0.8906429071298817,0.9045027706385828,0.9871612602956489,0.9839104098571501
8,8,723.7816091043867,733.3239787234991,736.9106538578794,741.2198319627184,718.9060385111817,714.4432395403159,710.602078758788,745.609962502004,703.8095607506502,730.4354017070827,713.4963061770839,767.0056736580163,664.2626847963654,774.0446598186306,645.4388496064196,756.6577788261004,607.3579659045063,756.6642200881761,592.5237197168761,746.0612303953242,590.6909732201067,742.0783680673524,598.3446789650905,733.2773542159908,668.2994771291186,749.0371786419203,637.9196316217354,741.6556986458888,618.7956877853032,731.4488675018745,625.1789186955392,754.7587491156161,590.0831240032138,215.95319500398074,206.92254996924405,207.8792141787811,208.8356304075522,204.17795909365802,203.47471411582347,202.9787614318968,213.58080618341646,206.05348970687743,227.45998752412095,225.02372014720027,282.950451343935,259.4958089914073,377.3647118857334,332.8514482568162,440.416158345981,342.7973921152544,466.6380318199749,347.91435395156844,466.2484378903747,341.05212850442047,456.02162925328565,339.7336916077299,423.75544892161116,415.8148152202435,543.3536161667163,522.7773738560803,640.3925417975179,626.6616618560217,651.5775782418075,643.2711475347527,690.1418446050809,665.6036885115584,-627963.5147564658,-607451.0541462111,-608009.750481052,-607980.2480703917,-605914.2796095593,-606286.114074506,-606458.7231909044,-432352.61391338706,-425909.3754503607,-555413.9969826173,-556102.2455431104,-309654.04797652207,-243372.8002883694,-267504.71098019485,-339948.6226777977,-413304.3548702565,-638695.6192342921,-463714.374677339,-707292.1328797329,-509716.78898889193,-752097.5905909563,-433211.7856038595,-666594.2249089989,-11884.722793712,11692.270490392595,-61755.557268435674,-47411.85923326106,222676.51160691364,193508.67009987732,239601.95991657354,209332.1868196888,66328.6755278105,35460.33688909705,0.999883773827957,0.9997526069388963,0.9996815224999142,0.999746516086751,0.999855945872075,0.9998739111708936,0.9999100519639068,0.9997461249970554,0.9997060360271143,0.9996972290791194,0.9997675535633239,0.9998936572674444,0.9999172896790953,0.7028490506763144,0.8057394016187216,0.6399695127994541,0.9061074249148472,0.6305999207570915,0.8901847164197817,0.6365720507784316,0.8980559275131583,0.6166468803831466,0.8672339446935736,0.9999833217827964,0.9999804681804192,0.9824636463253319,0.9784330544835473,0.991467797193411,0.9906683435069832,0.8951593955610887,0.9072487605253576,0.9879222143093088,0.9842009324620917
9,9,723.8019609772731,733.3506527383804,737.0021050913932,741.5776744434852,719.2384714982863,714.5952120950792,710.8126775192028,745.9286107530158,704.0168261551612,730.43294059396,713.5245479202121,766.5014593090116,665.4007705127667,761.6657638141519,644.4648010410199,759.9518501234743,600.1378643548954,763.8523662235848,581.2949679189329,757.1193350227256,578.8693062802377,744.7108581353883,588.2610818392948,730.7911843585442,668.1219260165154,739.5143733444881,636.3608866938113,741.7789164518576,618.8888862601509,738.6467419812041,625.3929103203822,735.2297757349336,589.7407901064607,218.22666905419683,208.99880180539756,209.96450127153753,210.93089581997984,206.6080846264386,205.8288077099511,205.20168816095918,215.9382733761792,207.7768028610919,229.54277030305795,227.19931961336422,290.1403064775967,259.5621220691624,386.50574388535284,334.532255106977,467.93911481052254,334.0844242636965,491.0058981033032,334.2334952136409,494.2359196976456,325.1435838933148,485.8639217619016,326.2611481807032,422.33155310174374,414.8323045328664,534.6844771338739,522.7898114184344,645.9840558705718,626.6309798183197,665.6722852295208,643.9469143226573,689.7783982126856,665.3531819376661,-603254.8728588347,-585442.4953705537,-585952.4207543493,-585926.5771713534,-581576.9891638823,-581964.3297039565,-582164.9891399646,-427380.4296988103,-409595.44758715294,-537040.6293428281,-534499.6241009409,-325127.2927805297,-227927.99038531783,-279577.6521901365,-309324.09312987054,-392912.81910260965,-564459.8524240542,-433792.3005595113,-620073.7416537491,-485492.6078548161,-663542.6154338836,-414405.4308399606,-591230.4554376386,-21151.042404800446,20943.66153454046,-166459.49152102816,-102105.65011120023,-13527.8937520193,102929.25249451384,-11360.967259551544,115458.86612894107,-208685.63211963937,-49385.510347732255,0.999904536841837,0.999797515041236,0.999739987521639,0.9997930932920037,0.9998808962233047,0.9998955430408458,0.999924457141389,0.9997930539899702,0.9997475642091432,0.9997519323181084,0.9998061269027125,0.9999131666443033,0.9999134498512953,0.7585685556699399,0.7930989847515504,0.7079015533754223,0.904087578132526,0.6997869018828734,0.8917048065187055,0.704758713374499,0.9004761534661261,0.6880580672428203,0.8716869927468258,0.9999839483949362,0.9999769024569204,0.9851746746436222,0.9802028855981981,0.9919786422685828,0.9906190275515022,0.9011313068417833,0.911151981417384,0.9888671470851621,0.9847463574329559
