Time (seconds),strength,x,y,z,pitch,roll
319.28,,628,408,748,,
319.92,,848,204,612,,
320.56,,1008,44,264,,
321.20,,1060,4,-216,,
321.84,,856,-164,-336,,
322.48,,932,-204,-356,,
323.12,,896,-184,-468,,
323.76,,904,-268,-412,,
324.40,,820,-328,-524,,
325.04,,880,-424,-480,,
325.68,,796,-296,-556,,
326.32,,904,-328,-568,,
326.96,,792,-220,-572,,
327.60,,752,-328,-636,,
328.24,,680,-196,-620,,
328.88,,664,-20,-808,,
329.52,,384,120,-1036,,
330.16,,-116,60,-892,,
330.80,,-184,-88,-976,,
331.44,,-56,-116,-1036,,
332.08,,872,-528,-664,,
332.73,,-320,-132,-860,,
333.37,,-188,-48,-1032,,
334.01,,-192,-4,-1048,,
334.65,,-148,24,-1032,,
335.29,,32,84,-1060,,
335.93,,-92,-84,-988,,
336.57,,128,-116,-1036,,
337.21,,656,-8,-708,,
337.85,,-100,-260,-940,,
338.49,,-96,-144,-1064,,
339.13,,156,-176,-736,,
339.77,,44,8,-1044,,
340.41,,-200,-144,-1000,,
341.05,,-52,-136,-1016,,
341.69,,324,-312,-1004,,
342.33,,-160,-180,-972,,
342.97,,-104,-4,-1140,,
343.61,,108,-124,-744,,
344.26,,60,-8,-1140,,
344.90,,-180,-92,-924,,
345.54,,-120,-68,-1076,,
346.18,,60,124,-1124,,
346.82,,212,16,-1356,,
347.46,,-256,-64,-996,,
348.10,,80,-352,-996,,
348.74,,132,-576,-800,,
349.38,,1020,388,308,,
350.02,,608,928,-12,,
350.66,,-248,516,-768,,
351.30,,-260,-88,-980,,
351.94,,-136,-316,-988,,
352.58,,-108,-160,-808,,
353.22,,-276,-108,-1056,,
353.86,,-160,-52,-1060,,
354.50,,-152,-72,-1004,,
355.14,,36,-116,-1004,,
355.78,,72,-124,-984,,
356.42,,40,-100,-1044,,
357.06,,428,144,-656,,
357.70,,20,-120,-1028,,
358.34,,-148,-260,-992,,
358.98,,-12,-84,-1016,,
359.63,,244,-160,-1056,,
360.27,,552,-184,-1232,,
360.91,,-68,-212,-1084,,
361.55,,-12,-16,-1120,,
362.19,,420,-88,-956,,
362.83,,-112,-104,-1016,,
363.47,,-96,-60,-1048,,
364.11,,-8,108,-1072,,
364.75,,708,-48,-1416,,
365.39,,-172,-200,-1036,,
366.03,,-56,-60,-1084,,
366.67,,740,168,-916,,
367.31,,28,-128,-1008,,
367.95,,196,12,-1056,,
368.59,,372,320,-888,,
369.23,,540,516,-720,,
369.87,,780,564,-352,,
370.51,,992,328,-136,,
371.15,,1032,140,8,,
371.79,,1020,-72,-32,,
372.43,,1020,-156,-44,,
