13 24 40 56 76 69 57 58 64 35 36 29 20 20 22 28
64 35 36 29 20 20 22 28 11 10 10 10 10 10 10 10
11 10 10 10 10 10 10 10 11 11 11 11 11 11 10 11
11 11 11 11 11 11 10 11 10 11 10 12 13 12 11 12
10 11 10 12 13 12 11 12 11 12 11 10 12 10 9 9
11 12 11 10 12 10 9 9 9 9 9 9 9 9 9 9
9 9 9 9 9 9 9 9 9 9 9 8 8 8 8 8
9 9 9 8 8 8 8 8 8 8 8 8 8 8 8 8
8 8 8 8 8 8 8 8 8 7 7 8 8 8 8 8
8 7 7 8 8 8 8 8 8 8 8 8 8 7 7 8
8 8 8 8 8 7 7 8 8 8 9 9 8 8 7 9
8 8 9 9 8 8 7 9 8 8 8 9 9 9 9 9
8 8 8 9 9 9 9 9 9 8 8 8 8 8 8 8
9 8 8 8 8 8 8 8 8 8 8 8 8 7 8 8
8 8 8 8 8 7 8 8 7 7 7 7 7 6 6 6
7 7 7 7 7 6 6 6 6 6 6 5 5 5 5 5
6 6 6 5 5 5 5 5 5 5 5 5 5 5 6 5
5 5 5 5 5 5 6 5 5 5 5 6 5 5 5 6
5 5 5 6 5 5 5 6 6 6 6 6 6 6 6 6
6 6 6 6 6 6 6 6 6 6 6 31 36 31 39 40
6 6 6 31 36 31 39 40 36 37 39 35 35 35 33 31
36 37 39 35 35 35 33 31 31 29 29 32 31 32 33 31
31 29 29 32 31 32 33 31 32 31 33 33 31 32 30 30
32 31 33 33 31 32 30 30 31 32 32 33 30 26 27 28
31 32 32 33 30 26 27 28 29 25 28 28 24 27 40 41
29 25 28 28 24 27 40 41 26 34 39 32 36 41 34 33
26 34 39 32 36 41 34 33 44 36 36 35 33 40 39 40
44 36 36 35 33 40 39 40 37 40 43 44 32 29 38 52
37 40 43 44 32 29 38 52 64 73 50 40 49 40 48 43
64 73 50 40 49 40 48 43 44 42 47 37 47 47 44 21
44 42 47 37 47 47 44 21 41 47 43 36 40 39 47 49
41 47 43 36 40 39 47 49 43 42 40 41 44 46 49 58
43 42 40 41 44 46 49 58 58 47 44 39 37 33 30 27
58 47 44 39 37 33 30 27 25 26 23 20 18 21 21 19
25 26 23 20 18 21 21 19 17 17 17 15 16 15 15 17
17 17 17 15 16 15 15 17 18 19 19 18 15 15 15 17
18 19 19 18 15 15 15 17 20 20 18 16 14 9 7 3
20 20 18 16 14 9 7 3 1 -3 -4 -6 -6 -8 -10 -9
1 -3 -4 -6 -6 -8 -10 -9 -6 -5 -5 -4 -6 -6 -4 -5
-6 -5 -5 -4 -6 -6 -4 -5 -6 -1 -3 -1 -3 -1 -1 -2
-6 -1 -3 -1 -3 -1 -1 -2 -1 -4 -6 -3 -6 -3 -4 0
-1 -4 -6 -3 -6 -3 -4 0 -4 -13 -9 -5 0 8 11 12
-4 -13 -9 -5 0 8 11 12 14 11 9 6 9 11 11 11
14 11 9 6 9 11 11 11 12 11 9 8 10 11 6 8
12 11 9 8 10 11 6 8 0 -3 6 2 6 13 11 14
0 -3 6 2 6 13 11 14 18 19 20 13 11 11 20 17
18 19 20 13 11 11 20 17 16 18 17 28 25 24 28 18
16 18 17 28 25 24 28 18 24 27 26 29 28 29 29 28
24 27 26 29 28 29 29 28 27 26 27 32 28 30 26 22
27 26 27 32 28 30 26 22 19 19 22 26 29 21 25 25
19 19 22 26 29 21 25 25 26 19 16 16 13 5 13 15
26 19 16 16 13 5 13 15 16 14 16 17 17 20 19 13
16 14 16 17 17 20 19 13 12 10 11 16 19 19 18 18
12 10 11 16 19 19 18 18 19 20 21 21 20 19 20 20
19 20 21 21 20 19 20 20 20 24 25 24 26 28 28 28
20 24 25 24 26 28 28 28 31 31 29 28 28 20 18 16
31 31 29 28 28 20 18 16 14 13 14 10 10 10 8 6
14 13 14 10 10 10 8 6 5 4 4 4 5 6 6 6
5 4 4 4 5 6 6 6 5 7 6 9 10 13 15 17
5 7 6 9 10 13 15 17 17 20 21 24 23 23 22 21
17 20 21 24 23 23 22 21 21 23 21 20 13 10 11 9
21 23 21 20 13 10 11 9 8 7 5 11 13 12 13 11
8 7 5 11 13 12 13 11 7 7 5 4 5 1 4 9
7 7 5 4 5 1 4 9 9 8 3 4 19 8 8 15
9 8 3 4 19 8 8 15 12 10 12 14 13 14 15 7
12 10 12 14 13 14 15 7 14 -2 -35 -31 -16 -35 -22 -22
14 -2 -35 -31 -16 -35 -22 -22 -21 -22 -18 -17 -18 -14 -13 -14
-21 -22 -18 -17 -18 -14 -13 -14 -8 -14 -8 -13 -14 -10 -4 2
-8 -14 -8 -13 -14 -10 -4 2 1 -4 -18 -20 1 -4 6 10
1 -4 -18 -20 1 -4 6 10 15 42 30 24 21 21 25 27
15 42 30 24 21 21 25 27 22 26 39 44 46 44 39 35
22 26 39 44 46 44 39 35 27 24 24 24 30 30 35 37
27 24 24 24 30 30 35 37 32 30 33 30 30 27 25 27
32 30 33 30 30 27 25 27 30 31 32 33 32 31 31 30
30 31 32 33 32 31 31 30 29 33 32 31 30 30 30 30
29 33 32 31 30 30 30 30 31 31 31 30 30 29 28 27
31 31 31 30 30 29 28 27 27 27 28 29 29 31 31 31
27 27 28 29 29 31 31 31 30 28 28 27 29 29 30 30
30 28 28 27 29 29 30 30 27 27 29 31 33 32 32 30
27 27 29 31 33 32 32 30 30 37 37 34 33 33 35 36
30 37 37 34 33 33 35 36 35 35 36 36 39 39 39 36
35 35 36 36 39 39 39 36 34 36 36 37 37 38 39 42
34 36 36 37 37 38 39 42 43 45 47 49 54 53 45 42
43 45 47 49 54 53 45 42 37 34 33 34 34 31 29 28
37 34 33 34 34 31 29 28 27 30 30 31 29 30 31 30
27 30 30 31 29 30 31 30 30 30 30 28 26 25 26 27
30 30 30 28 26 25 26 27 33 31 23 26 34 35 31 24
33 31 23 26 34 35 31 24 24 26 27 26 26 25 25 28
24 26 27 26 26 25 25 28 29 31 35 36 33 32 33 32
29 31 35 36 33 32 33 32 30 29 29 30 30 31 32 31
30 29 29 30 30 31 32 31 31 32 34 33 31 29 28 31
31 32 34 33 31 29 28 31 34 45 35 28 21 20 23 24
34 45 35 28 21 20 23 24 28 27 22 19 21 23 23 24
28 27 22 19 21 23 23 24 24 22 22 21 20 21 24 28
24 22 22 21 20 21 24 28 33 32 28 28 29 29 31 31
33 32 28 28 29 29 31 31 30 29 28 28 29 29 28 29
30 29 28 28 29 29 28 29 28 28 27 28 30 29 28 29
28 28 27 28 30 29 28 29 30 28 28 27 29 31 31 32
30 28 28 27 29 31 31 32 31 28 26 25 26 27 28 28
31 28 26 25 26 27 28 28 28 28 26 27 30 34 35 37
28 28 26 27 30 34 35 37 36 33 29 26 26 25 25 34
36 33 29 26 26 25 25 34 33 30 26 22 18 16 16 15
33 30 26 22 18 16 16 15 14 14 17 34 45 57 50 44
14 14 17 34 45 57 50 44 47 45 42 35 24 22 20 24
47 45 42 35 24 22 20 24 28 27 27 28 29 31 29 25
28 27 27 28 29 31 29 25 24 26 29 31 32 31 23 19
24 26 29 31 32 31 23 19 15 15 14 14 19 19 17 13
15 15 14 14 19 19 17 13 12 10 12 14 13 13 15 17
12 10 12 14 13 13 15 17 21 23 25 27 31 33 40 41
21 23 25 27 31 33 40 41 46 48 36 17 13 12 12 14
46 48 36 17 13 12 12 14 16 25 32 48 47 39 32 25
16 25 32 48 47 39 32 25 19 16 7 8 18 23 24 23
19 16 7 8 18 23 24 23 22 21 22 16 18 24 19 19
22 21 22 16 18 24 19 19 23 26 30 33 45 43 44 46
23 26 30 33 45 43 44 46 48 51 47 47 47 42 46 64
48 51 47 47 47 42 46 64 49 37 48 46 42 43 47 49
49 37 48 46 42 43 47 49 51 52 52 47 42 35 32 34
51 52 52 47 42 35 32 34 38 40 49 59 56 49 29 33
38 40 49 59 56 49 29 33 33 42 43 40 42 42 39 38
33 42 43 40 42 42 39 38 39 37 32 35 41 37 36 36
39 37 32 35 41 37 36 36 34 30 28 35 33 24 25 26
34 30 28 35 33 24 25 26 17 11 1 1 12 4 13 8
17 11 1 1 12 4 13 8 18 22 19 19 24 35 43 43
18 22 19 19 24 35 43 43 39 36 39 40 40 40 37 36
39 36 39 40 40 40 37 36 38 38 38 38 38 38 37 39
38 38 38 38 38 38 37 39 40 39 39 39 40 40 39 37
40 39 39 39 40 40 39 37 36 39 40 39 39 39 39 39
36 39 40 39 39 39 39 39 37 37 36 49 48 38 41 43
37 37 36 49 48 38 41 43 41 44 44 44 49 39 34 39
41 44 44 44 49 39 34 39 47 45 37 35 33 35 40 39
47 45 37 35 33 35 40 39 26 28 36 48 38 43 34 62
26 28 36 48 38 43 34 62 55 48 39 49 59 54 69 68
55 48 39 49 59 54 69 68 63 62 54 46 40 26 20 -1
63 62 54 46 40 26 20 -1 -12 -20 -22 -31 -29 -47 -88 -86
-12 -20 -22 -31 -29 -47 -88 -86 -15 24 -102 -27 -56 106 20 46
-15 24 -102 -27 -56 106 20 46 24 26 25 32 28 24 28 31
24 26 25 32 28 24 28 31 29 27 29 26 24 25 28 30
29 27 29 26 24 25 28 30 25 25 30 23 30 29 32 24
25 25 30 23 30 29 32 24 19 19 10 22 25 32 34 33
19 19 10 22 25 32 34 33 39 39 28 38 27 27 28 23
39 39 28 38 27 27 28 23 20 22 25 28 31 28 27 32
20 22 25 28 31 28 27 32 30 29 28 28 30 31 34 33
30 29 28 28 30 31 34 33 27 27 26 26 19 11 15 4
27 27 26 26 19 11 15 4 2 22 19 19 31 38 45 56
2 22 19 19 31 38 45 56 48 54 101 113 108 86 65 70
48 54 101 113 108 86 65 70 61 54 87 81 78 42 52 42
61 54 87 81 78 42 52 42 35 26 -1 68 52 47 56 46
35 26 -1 68 52 47 56 46 26 23 35 41 52 33 27 53
26 23 35 41 52 33 27 53 55 36 39 28 24 48 35 20
55 36 39 28 24 48 35 20 33 33 25 23 29 25 26 31
33 33 25 23 29 25 26 31 24 35 34 34 36 40 42 43
24 35 34 34 36 40 42 43 43 40 39 42 42 35 42 39
43 40 39 42 42 35 42 39 40 41 38 43 43 45 46 44
40 41 38 43 43 45 46 44 46 45 49 43 47 66 26 30
46 45 49 43 47 66 26 30 33 41 41 37 35 37 36 34
33 41 41 37 35 37 36 34 35 28 33 44 42 37 40 50
35 28 33 44 42 37 40 50 73 71 74 69 72 77 82 82
73 71 74 69 72 77 82 82 72 33 27 13 5 -4 -10 -12
72 33 27 13 5 -4 -10 -12 -25 -33 -70 -110 19 27 127 -75
-25 -33 -70 -110 19 27 127 -75 72 -23 87 30 35 21 32 29
72 -23 87 30 35 21 32 29 33 31 30 28 29 27 26 28
33 31 30 28 29 27 26 28 26 26 28 28 25 22 23 23
26 26 28 28 25 22 23 23 21 7 22 -5 3 8 18 26
21 7 22 -5 3 8 18 26 31 35 34 31 37 31 27 33
31 35 34 31 37 31 27 33 25 28 33 25 24 20 19 23
25 28 33 25 24 20 19 23 25 24 26 26 33 36 37 36
25 24 26 26 33 36 37 36 33 35 42 39 35 32 30 23
33 35 42 39 35 32 30 23 19 23 19 26 27 29 50 45
19 23 19 26 27 29 50 45 45 71 59 49 104 107 91 96
45 71 59 49 104 107 91 96 86 50 52 61 59 80 84 76
86 50 52 61 59 80 84 76 54 46 33 33 23 -7 97 60
54 46 33 33 23 -7 97 60 43 54 50 30 30 36 30 22
43 54 50 30 30 36 30 22 8 42 20 26 20 18 15 15
8 42 20 26 20 18 15 15 24 38 25 12 18 39 35 40
24 38 25 12 18 39 35 40 39 33 35 35 35 34 34 35
39 33 35 35 35 34 34 35 37 40 38 39 40 38 42 41
37 40 38 39 40 38 42 41 43 46 47 41 39 37 34 32
43 46 47 41 39 37 34 32 29 25 34 35 42 40 38 39
29 25 34 35 42 40 38 39 37 39 41 42 42 42 42 42
37 39 41 42 42 42 42 42 42 42 42 42 42 42 42 42
42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42
42 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42
42 42 42 42 42 42 42 42 39 33 32 31 28 29 27 25
39 33 32 31 28 29 27 25 28 29 29 26 17 18 9 14
28 29 29 26 17 18 9 14 15 14 17 29 32 30 46 44
15 14 17 29 32 30 46 44 27 85 104 63 71 103 96 51
27 85 104 63 71 103 96 51 32 47 57 62 55 86 77 58
32 47 57 62 55 86 77 58 47 19 21 21 22 29 28 22
47 19 21 21 22 29 28 22 16 34 38 29 75 71 28 27
16 34 38 29 75 71 28 27 64 63 51 21 21 24 38 33
64 63 51 21 21 24 38 33 54 42 36 45 41 39 38 33
54 42 36 45 41 39 38 33 39 50 67 49 45 45 42 48
39 50 67 49 45 45 42 48 57 60 58 57 54 44 33 26
57 60 58 57 54 44 33 26 21 24 48 53 51 48 43 44
21 24 48 53 51 48 43 44 45 51 44 45 48 46 46 48
45 51 44 45 48 46 46 48 49 47 47 46 47 43 48 47
49 47 47 46 47 43 48 47 49 48 44 45 46 47 46 46
49 48 44 45 46 47 46 46 47 54 54 53 58 53 49 29
47 54 54 53 58 53 49 29 31 45 53 51 42 40 43 44
31 45 53 51 42 40 43 44 46 45 46 44 52 54 53 72
46 45 46 44 52 54 53 72 71 71 78 70 82 80 75 85
71 71 78 70 82 80 75 85 69 63 43 38 25 15 6 3
69 63 43 38 25 15 6 3 -11 -14 -13 -31 -45 -97 -72 97
-11 -14 -13 -31 -45 -97 -72 97 127 -128 28 1 34 38 47 25
127 -128 28 1 34 38 47 25 -36 24 15 22 27 29 28 29
-36 24 15 22 27 29 28 29 27 31 28 29 29 29 30 26
27 31 28 29 29 29 30 26 30 31 29 29 26 27 29 30
30 31 29 29 26 27 29 30 30 29 31 31 32 31 30 31
30 29 31 31 32 31 30 31 32 33 32 30 33 30 33 31
32 33 32 30 33 30 33 31 31 22 24 28 33 44 40 41
31 22 24 28 33 44 40 41 30 32 26 24 21 22 20 22
30 32 26 24 21 22 20 22 28 24 27 25 21 21 23 16
28 24 27 25 21 21 23 16 12 11 6 48 48 63 76 113
12 11 6 48 48 63 76 113 94 83 87 96 72 63 65 64
94 83 87 96 72 63 65 64 53 63 65 65 56 30 32 29
53 63 65 65 56 30 32 29 14 37 29 54 42 38 67 70
14 37 29 54 42 38 67 70 70 63 58 56 57 53 35 33
70 63 58 56 57 53 35 33 39 60 41 55 52 41 37 42
39 60 41 55 52 41 37 42 50 52 72 54 45 45 50 48
50 52 72 54 45 45 50 48 45 45 47 47 46 46 47 47
45 45 47 47 46 46 47 47 47 48 47 49 51 44 47 48
47 48 47 49 51 44 47 48 47 46 49 49 47 48 50 49
47 46 49 49 47 48 50 49 47 47 50 49 46 47 48 44
47 47 50 49 46 47 48 44 29 51 49 53 55 60 50 38
29 51 49 53 55 60 50 38 39 53 50 50 46 44 47 47
39 53 50 50 46 44 47 47 45 47 47 43 44 47 51 55
45 47 47 43 44 47 51 55 39 44 45 64 66 68 66 72
39 44 45 64 66 68 66 72 76 73 74 69 72 66 47 44
76 73 74 69 72 66 47 44 33 21 13 8 -1 -10 -7 85
33 21 13 8 -1 -10 -7 85 127 -128 109 21 67 63 37 33
127 -128 109 21 67 63 37 33 25 27 25 24 28 32 32 34
25 27 25 24 28 32 32 34 33 36 37 37 38 38 39 38
33 36 37 37 38 38 39 38 39 38 39 38 38 40 37 39
39 38 39 38 38 40 37 39 37 38 36 36 36 37 36 36
37 38 36 36 36 37 36 36 36 36 32 31 36 36 35 28
36 36 32 31 36 36 35 28 28 26 25 34 28 24 37 42
28 26 25 34 28 24 37 42 47 47 33 25 24 23 24 22
47 47 33 25 24 23 24 22 22 26 23 24 29 23 17 20
22 26 23 24 29 23 17 20 13 9 16 18 25 28 5 13
13 9 16 18 25 28 5 13 35 70 75 -11 -45 -85 71 -63
35 70 75 -11 -45 -85 71 -63 -52 -33 -31 -34 -30 -43 -43 -27
-52 -33 -31 -34 -30 -43 -43 -27 -36 -23 7 -2 -12 -4 14 4
-36 -23 7 -2 -12 -4 14 4 -1 7 -4 17 12 16 16 26
-1 7 -4 17 12 16 16 26 31 28 26 25 24 25 32 42
31 28 26 25 24 25 32 42 50 44 41 41 40 47 46 41
50 44 41 41 40 47 46 41 42 43 45 60 62 50 41 41
42 43 45 60 62 50 41 41 62 56 39 40 46 49 47 46
62 56 39 40 46 49 47 46 48 47 50 50 49 45 48 51
