-54 -52 -36 -36 -33 -49 -70 -61 -50 -79 -85 -59 -53 -47 -45 -36
-50 -79 -85 -59 -53 -47 -45 -36 -49 -49 -49 -49 -49 -49 -50 -50
-49 -49 -49 -49 -49 -49 -50 -50 -50 -49 -49 -48 -48 -47 -48 -48
-50 -49 -49 -48 -48 -47 -48 -48 -49 -49 -49 -51 -50 -49 -50 -50
-49 -49 -49 -51 -50 -49 -50 -50 -50 -52 -49 -50 -51 -49 -50 -50
-50 -52 -49 -50 -51 -49 -50 -50 -49 -49 -49 -49 -48 -49 -49 -49
-49 -49 -49 -49 -48 -49 -49 -49 -49 -48 -48 -48 -48 -48 -49 -49
-49 -48 -48 -48 -48 -48 -49 -49 -48 -48 -48 -49 -48 -48 -49 -49
-48 -48 -48 -49 -48 -48 -49 -49 -49 -48 -48 -48 -48 -49 -49 -49
-49 -48 -48 -48 -48 -49 -49 -49 -48 -48 -48 -48 -48 -48 -48 -48
-48 -48 -48 -48 -48 -48 -48 -48 -48 -48 -49 -48 -48 -49 -49 -47
-48 -48 -49 -48 -48 -49 -49 -47 -47 -49 -48 -48 -48 -48 -49 -49
-47 -49 -48 -48 -48 -48 -49 -49 -49 -49 -50 -50 -49 -49 -48 -49
-49 -49 -50 -50 -49 -49 -48 -49 -49 -49 -49 -49 -49 -49 -49 -49
-49 -49 -49 -49 -49 -49 -49 -49 -50 -50 -49 -50 -50 -50 -50 -50
-50 -50 -49 -50 -50 -50 -50 -50 -50 -51 -51 -51 -51 -51 -51 -51
-50 -51 -51 -51 -51 -51 -51 -51 -51 -51 -52 -51 -51 -51 -51 -50
-51 -51 -52 -51 -51 -51 -51 -50 -51 -51 -51 -51 -51 -51 -50 -50
-51 -51 -51 -51 -51 -51 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50
-50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -29 -20 -15 -9 -7
-50 -50 -50 -29 -20 -15 -9 -7 -4 -5 -5 -5 -7 -7 -9 -6
-4 -5 -5 -5 -7 -7 -9 -6 -10 -10 -10 -12 -11 -8 -9 -10
-10 -10 -10 -12 -11 -8 -9 -10 -8 -7 -8 -6 -8 -9 -10 -9
-8 -7 -8 -6 -8 -9 -10 -9 -9 -9 -9 -8 -11 -13 -10 -17
-9 -9 -9 -8 -11 -13 -10 -17 -16 -11 -12 -9 -9 -10 -7 -20
-16 -11 -12 -9 -9 -10 -7 -20 -30 -37 -34 -38 -41 -40 -45 -42
-30 -37 -34 -38 -41 -40 -45 -42 -40 -48 -38 -40 -35 -26 -33 -39
-40 -48 -38 -40 -35 -26 -33 -39 -43 -30 -29 -32 -50 -46 -14 -8
-43 -30 -29 -32 -50 -46 -14 -8 -9 -5 -26 -32 -22 -29 -34 -31
-9 -5 -26 -32 -22 -29 -34 -31 -21 -26 -17 -24 -20 -18 -20 -17
-21 -26 -17 -24 -20 -18 -20 -17 -16 -6 -12 -20 -20 -22 -16 -19
-16 -6 -12 -20 -20 -22 -16 -19 -16 -22 -19 -22 -23 -21 -15 -4
-16 -22 -19 -22 -23 -21 -15 -4 -6 -8 -11 -16 -19 -30 -30 -29
-6 -8 -11 -16 -19 -30 -30 -29 -26 -26 -31 -36 -45 -46 -44 -48
-26 -26 -31 -36 -45 -46 -44 -48 -49 -49 -49 -43 -40 -38 -36 -36
-49 -49 -49 -43 -40 -38 -36 -36 -33 -28 -25 -25 -26 -27 -26 -25
-33 -28 -25 -25 -26 -27 -26 -25 -27 -27 -29 -32 -35 -40 -40 -43
-27 -27 -29 -32 -35 -40 -40 -43 -43 -47 -47 -44 -42 -42 -40 -39
-43 -47 -47 -44 -42 -42 -40 -39 -36 -32 -33 -33 -31 -32 -28 -31
-36 -32 -33 -33 -31 -32 -28 -31 -35 -26 -27 -28 -33 -28 -28 -36
-35 -26 -27 -28 -33 -28 -28 -36 -33 -36 -39 -37 -37 -25 -30 -30
-33 -36 -39 -37 -37 -25 -30 -30 -25 -25 -32 -29 -16 -30 -23 -32
-25 -25 -32 -29 -16 -30 -23 -32 -33 -33 -31 -35 -38 -35 -39 -41
-33 -33 -31 -35 -38 -35 -39 -41 -36 -38 -42 -41 -43 -42 -36 -37
-36 -38 -42 -41 -43 -42 -36 -37 -35 -48 -36 -35 -37 -40 -37 -42
-35 -48 -36 -35 -37 -40 -37 -42 -39 -39 -36 -38 -46 -40 -36 -33
-39 -39 -36 -38 -46 -40 -36 -33 -33 -37 -42 -32 -32 -32 -38 -49
-33 -37 -42 -32 -32 -32 -38 -49 -46 -43 -40 -34 -42 -40 -39 -38
-46 -43 -40 -34 -42 -40 -39 -38 -35 -33 -37 -37 -34 -34 -30 -28
-35 -33 -37 -37 -34 -34 -30 -28 -34 -31 -34 -35 -39 -43 -48 -41
-34 -31 -34 -35 -39 -43 -48 -41 -38 -36 -34 -34 -34 -39 -32 -32
-38 -36 -34 -34 -34 -39 -32 -32 -31 -29 -28 -30 -30 -28 -26 -24
-31 -29 -28 -30 -30 -28 -26 -24 -23 -24 -24 -22 -20 -20 -20 -21
-23 -24 -24 -22 -20 -20 -20 -21 -22 -22 -20 -19 -19 -20 -20 -19
-22 -22 -20 -19 -19 -20 -20 -19 -19 -19 -17 -17 -17 -16 -15 -12
-19 -19 -17 -17 -17 -16 -15 -12 -6 -3 0 -3 -10 -17 -16 -17
-6 -3 0 -3 -10 -17 -16 -17 -17 -20 -21 -21 -21 -20 -20 -20
-17 -20 -21 -21 -21 -20 -20 -20 -22 -22 -22 -23 -22 -22 -20 -20
-22 -22 -22 -23 -22 -22 -20 -20 -22 -21 -22 -23 -26 -36 -40 -40
-22 -21 -22 -23 -26 -36 -40 -40 -36 -32 -32 -30 -27 -23 -22 -23
-36 -32 -32 -30 -27 -23 -22 -23 -25 -23 -18 -12 -6 -5 -7 -13
-25 -23 -18 -12 -6 -5 -7 -13 -15 -18 -18 -20 -21 -24 -23 -25
-15 -18 -18 -20 -21 -24 -23 -25 -31 -28 -26 -27 -22 -25 -26 -23
-31 -28 -26 -27 -22 -25 -26 -23 -25 -27 -34 -36 -34 -29 -19 -14
-25 -27 -34 -36 -34 -29 -19 -14 -3 -23 -31 -42 -36 -23 -30 -30
-3 -23 -31 -42 -36 -23 -30 -30 -28 -35 -49 -62 -45 -46 -34 -42
-28 -35 -49 -62 -45 -46 -34 -42 -38 -30 -39 -38 -35 -32 -31 -35
-38 -30 -39 -38 -35 -32 -31 -35 -40 -39 -50 -52 -43 -49 -45 -48
-40 -39 -50 -52 -43 -49 -45 -48 -51 -55 -53 -59 -47 -43 -41 -34
-51 -55 -53 -59 -47 -43 -41 -34 -29 -12 -23 -37 -40 -51 -58 -54
-29 -12 -23 -37 -40 -51 -58 -54 -54 -53 -42 -41 -44 -46 -44 -49
-54 -53 -42 -41 -44 -46 -44 -49 -44 -44 -40 -43 -35 -46 -45 -53
-44 -44 -40 -43 -35 -46 -45 -53 -58 -55 -52 -52 -50 -52 -53 -53
-58 -55 -52 -52 -50 -52 -53 -53 -50 -50 -50 -49 -48 -46 -45 -44
-50 -50 -50 -49 -48 -46 -45 -44 -45 -45 -45 -46 -46 -45 -45 -47
-45 -45 -45 -46 -46 -45 -45 -47 -49 -49 -49 -50 -50 -50 -50 -49
-49 -49 -49 -50 -50 -50 -50 -49 -50 -50 -49 -51 -51 -50 -51 -52
-50 -50 -49 -51 -51 -50 -51 -52 -52 -53 -53 -53 -49 -48 -49 -48
-52 -53 -53 -53 -49 -48 -49 -48 -45 -45 -45 -45 -47 -48 -48 -47
-45 -45 -45 -45 -47 -48 -48 -47 -46 -47 -46 -45 -45 -46 -46 -46
-46 -47 -46 -45 -45 -46 -46 -46 -47 -47 -45 -43 -40 -40 -40 -41
-47 -47 -45 -43 -40 -40 -40 -41 -42 -43 -42 -42 -42 -43 -43 -41
-42 -43 -42 -42 -42 -43 -43 -41 -41 -39 -40 -40 -41 -42 -43 -44
-41 -39 -40 -40 -41 -42 -43 -44 -43 -44 -44 -42 -42 -48 -51 -52
-43 -44 -44 -42 -42 -48 -51 -52 -51 -47 -47 -52 -44 -46 -48 -49
-51 -47 -47 -52 -44 -46 -48 -49 -49 -51 -52 -50 -50 -50 -49 -51
-49 -51 -52 -50 -50 -50 -49 -51 -51 -50 -44 -41 -45 -47 -43 -33
-51 -50 -44 -41 -45 -47 -43 -33 -30 -30 -29 -33 -33 -31 -31 -31
-30 -30 -29 -33 -33 -31 -31 -31 -32 -32 -32 -31 -32 -32 -29 -28
-32 -32 -32 -31 -32 -32 -29 -28 -28 -29 -30 -31 -31 -33 -35 -37
-28 -29 -30 -31 -31 -33 -35 -37 -38 -40 -41 -41 -40 -42 -42 -44
-38 -40 -41 -41 -40 -42 -42 -44 -46 -48 -46 -50 -53 -51 -46 -48
-46 -48 -46 -50 -53 -51 -46 -48 -53 -55 -51 -46 -47 -49 -51 -54
-53 -55 -51 -46 -47 -49 -51 -54 -57 -55 -54 -55 -53 -56 -58 -59
-57 -55 -54 -55 -53 -56 -58 -59 -53 -49 -41 -36 -34 -35 -34 -32
-53 -49 -41 -36 -34 -35 -34 -32 -31 -31 -31 -32 -31 -30 -29 -29
-31 -31 -31 -32 -31 -30 -29 -29 -30 -30 -28 -28 -29 -29 -27 -29
-30 -30 -28 -28 -29 -29 -27 -29 -31 -29 -27 -25 -26 -26 -26 -25
-31 -29 -27 -25 -26 -26 -26 -25 -26 -26 -25 -25 -25 -26 -26 -27
-26 -26 -25 -25 -25 -26 -26 -27 -28 -29 -30 -31 -32 -40 -47 -53
-28 -29 -30 -31 -32 -40 -47 -53 -52 -52 -53 -52 -54 -52 -50 -43
-52 -52 -53 -52 -54 -52 -50 -43 -42 -44 -44 -42 -37 -36 -37 -39
-42 -44 -44 -42 -37 -36 -37 -39 -43 -48 -50 -56 -59 -57 -55 -54
-43 -48 -50 -56 -59 -57 -55 -54 -52 -47 -47 -45 -37 -32 -32 -33
-52 -47 -47 -45 -37 -32 -32 -33 -36 -45 -50 -53 -50 -47 -44 -43
